"Game","Count","PopularityCategory"
"zelda-links-awakening-2019",9,"Not so popular"
"star-wars-squadrons",9,"Not so popular"
"mafia-wars",8,"Not so popular"
"windows-vista",8,"Not so popular"
"world-of-goo",8,"Not so popular"
"heavy-rain",8,"Not so popular"
"uncharted",8,"Not so popular"
"wurm-online",8,"Not so popular"
"lost-planet-2",8,"Not so popular"
"dead-rising-2",8,"Not so popular"
"directx-10",8,"Not so popular"
"sonic-the-hedgehog",8,"Not so popular"
"secret-of-mana",8,"Not so popular"
"lara-croft-gol",8,"Not so popular"
"majesty-2",8,"Not so popular"
"dead-space-2",8,"Not so popular"
"command-and-conquer-3-tiberium-wars",8,"Not so popular"
"bit-trip-beat",8,"Not so popular"
"battlefield-2142",8,"Not so popular"
"bit-trip-runner",8,"Not so popular"
"star-trek-birth-of-the-federation",8,"Not so popular"
"gears-of-war",8,"Not so popular"
"heroes-of-might-and-magic-5",8,"Not so popular"
"dragons-of-atlantis",8,"Not so popular"
"final-fantasy-3",8,"Not so popular"
"tekken",8,"Not so popular"
"ico",8,"Not so popular"
"scribblenauts-remix",8,"Not so popular"
"pro-evolution-soccer-2012",8,"Not so popular"
"snoopys-street-fair",8,"Not so popular"
"kirby-return-to-dreamland",8,"Not so popular"
"lotr-war-in-the-north",8,"Not so popular"
"need-for-speed-the-run",8,"Not so popular"
"pushmo",8,"Not so popular"
"empire-earth",8,"Not so popular"
"jamestown",8,"Not so popular"
"punkbuster",8,"Not so popular"
"sonic-and-sega-all-stars-racing",8,"Not so popular"
"defenders-quest",8,"Not so popular"
"street-fighter-x-tekken",8,"Not so popular"
"silent-hill-downpour",8,"Not so popular"
"psone-classics",8,"Not so popular"
"castlevania-symphony-of-the-night",8,"Not so popular"
"trials-evolution",8,"Not so popular"
"ski-safari",8,"Not so popular"
"bag-it",8,"Not so popular"
"kingdom-hearts-series",8,"Not so popular"
"quantum-conundrum",8,"Not so popular"
"google-doodles",8,"Not so popular"
"fallout-tactics",8,"Not so popular"
"tactics-ogre-psp",8,"Not so popular"
"airmech",8,"Not so popular"
"dream-house-days",8,"Not so popular"
"pixel-people",8,"Not so popular"
"etrian-odyssey-4",8,"Not so popular"
"ninja-village",8,"Not so popular"
"pokemon-tcg-online",8,"Not so popular"
"guacamelee",8,"Not so popular"
"gunpoint",8,"Not so popular"
"brothers-tale-of-two-sons",8,"Not so popular"
"hammerwatch",8,"Not so popular"
"tales-of-xillia",8,"Not so popular"
"dragons-crown",8,"Not so popular"
"shadowplay",8,"Not so popular"
"disney-infinity",8,"Not so popular"
"state-of-decay-breakdown",8,"Not so popular"
"killer-instinct-2013",8,"Not so popular"
"steamworld-dig",8,"Not so popular"
"luftrausers",8,"Not so popular"
"hero-siege",8,"Not so popular"
"valkyria-chronicles",8,"Not so popular"
"mini-metro",8,"Not so popular"
"half-minute-hero-the-second-coming",8,"Not so popular"
"animal-crossing",8,"Not so popular"
"paper-mario-the-thousand-year-door",8,"Not so popular"
"five-nights-at-freddys-2",8,"Not so popular"
"steam-holiday-auction",8,"Not so popular"
"neptunia-rebirth-1",8,"Not so popular"
"tap-titans",8,"Not so popular"
"duck-game",8,"Not so popular"
"magic-duels",8,"Not so popular"
"scummvm",8,"Not so popular"
"animal-crossing-happy-home-designer",8,"Not so popular"
"civ-beyond-earth-rising-tide",8,"Not so popular"
"rock-band-4",8,"Not so popular"
"rebel-galaxy",8,"Not so popular"
"pocket-mortys",8,"Not so popular"
"firewatch",8,"Not so popular"
"superhot",8,"Not so popular"
"far-cry-primal",8,"Not so popular"
"moon-hunters",8,"Not so popular"
"slither.io",8,"Not so popular"
"baldurs-gate-2-enhanced",8,"Not so popular"
"need-for-speed-rivals",8,"Not so popular"
"watch-dogs-2",8,"Not so popular"
"tales-of-berseria",8,"Not so popular"
"gems-of-war",8,"Not so popular"
"gran-turismo-sport",8,"Not so popular"
"south-park-the-fractured-but-whole",8,"Not so popular"
"dragon-ball-fighterz",8,"Not so popular"
"king-of-avalon-dragon-warfare",8,"Not so popular"
"ni-no-kuni-2-revenant-kingdom",8,"Not so popular"
"forza-horizon-4",8,"Not so popular"
"super-mario-party",8,"Not so popular"
"darksiders-3",8,"Not so popular"
"x4-foundations",8,"Not so popular"
"metro-exodus",8,"Not so popular"
"cod-world-at-war-zombies",8,"Not so popular"
"cod-black-ops-zombies",8,"Not so popular"
"age-of-empires-ii-de",8,"Not so popular"
"call-of-duty-warzone",8,"Not so popular"
"valorant",8,"Not so popular"
"xcom-chimera-squad",8,"Not so popular"
"ps5",8,"Not so popular"
"the-secret-of-monkey-island",7,"Not so popular"
"city-of-heroes",7,"Not so popular"
"boot-camp",7,"Not so popular"
"monkey-island-2-lechucks-revenge",7,"Not so popular"
"myst",7,"Not so popular"
"dragon-quest-series",7,"Not so popular"
"ruse",7,"Not so popular"
"singstar",7,"Not so popular"
"cities-xl",7,"Not so popular"
"stepmania",7,"Not so popular"
"castlevania-lords-of-shadow",7,"Not so popular"
"nba2k11",7,"Not so popular"
"prototype",7,"Not so popular"
"risen",7,"Not so popular"
"stalker-shadow-of-chernobyl",7,"Not so popular"
"halo-2",7,"Not so popular"
"dungeon-siege-2",7,"Not so popular"
"teamspeak",7,"Not so popular"
"dungeon-raid",7,"Not so popular"
"silent-hill-series",7,"Not so popular"
"ultimate-ninja-storm-2",7,"Not so popular"
"infamous-2",7,"Not so popular"
"street-fighter-ii",7,"Not so popular"
"sonic-3",7,"Not so popular"
"runes-of-magic",7,"Not so popular"
"touhou-embodiment-of-scarlet-devil",7,"Not so popular"
"napoleon-total-war",7,"Not so popular"
"mafia-2",7,"Not so popular"
"lego-star-wars-3",7,"Not so popular"
"vindictus",7,"Not so popular"
"pro-evolution-soccer-2011",7,"Not so popular"
"football-manager-2012",7,"Not so popular"
"sequence",7,"Not so popular"
"dance-central-2",7,"Not so popular"
"mac-app-store",7,"Not so popular"
"phoenix-wright-ace-attorney",7,"Not so popular"
"edge",7,"Not so popular"
"kirbys-adventure",7,"Not so popular"
"fraps",7,"Not so popular"
"dear-esther",7,"Not so popular"
"kingdom-hearts-dream-drop-distance",7,"Not so popular"
"1000-amps",7,"Not so popular"
"to-the-moon",7,"Not so popular"
"vessel",7,"Not so popular"
"gran-turismo-3-a-spec",7,"Not so popular"
"tiny-monsters",7,"Not so popular"
"uncharted-series",7,"Not so popular"
"soul-calibur-4",7,"Not so popular"
"pocket-clothier",7,"Not so popular"
"the-sushi-spinnery",7,"Not so popular"
"empire-defense-2",7,"Not so popular"
"lego-batman-2",7,"Not so popular"
"wizard101",7,"Not so popular"
"bad-piggies",7,"Not so popular"
"tokyo-jungle",7,"Not so popular"
"doom-3-bfg-edition",7,"Not so popular"
"physical-media",7,"Not so popular"
"pro-evolution-soccer-2013",7,"Not so popular"
"lego-lord-of-the-rings",7,"Not so popular"
"bioshock-series",7,"Not so popular"
"homeworld",7,"Not so popular"
"nintendo-land",7,"Not so popular"
"strike-suit-zero",7,"Not so popular"
"dune-2",7,"Not so popular"
"ridiculous-fishing",7,"Not so popular"
"real-racing-3",7,"Not so popular"
"cities-in-motion-2",7,"Not so popular"
"star-conflict",7,"Not so popular"
"star-command",7,"Not so popular"
"pokemon-global-link",7,"Not so popular"
"wizardry-8",7,"Not so popular"
"subway-surfers",7,"Not so popular"
"despicable-me-minion-rush",7,"Not so popular"
"pikmin-3",7,"Not so popular"
"streetpass-mansion-monster-manor",7,"Not so popular"
"grand-theft-auto-series",7,"Not so popular"
"starmade",7,"Not so popular"
"hitman-blood-money",7,"Not so popular"
"speed-warp",7,"Not so popular"
"luigis-mansion",7,"Not so popular"
"pocket-mine",7,"Not so popular"
"marvel-puzzle-quest",7,"Not so popular"
"valdis-story-abyssal-city",7,"Not so popular"
"loadout",7,"Not so popular"
"the-wolf-among-us",7,"Not so popular"
"2048",7,"Not so popular"
"pixel-piracy",7,"Not so popular"
"ascendant",7,"Not so popular"
"ramble-planet",7,"Not so popular"
"kenshi",7,"Not so popular"
"jagged-alliance-2",7,"Not so popular"
"insurgency",7,"Not so popular"
"talisman",7,"Not so popular"
"hand-of-fate",7,"Not so popular"
"magicka-2",7,"Not so popular"
"you-must-build-a-boat",7,"Not so popular"
"counter-strike-go-overwatch",7,"Not so popular"
"lego-jurassic-world",7,"Not so popular"
"king-of-thieves",7,"Not so popular"
"guild-of-dungeoneering",7,"Not so popular"
"witcher-3-hearts-of-stone",7,"Not so popular"
"tales-of-zestiria",7,"Not so popular"
"bravely-second",7,"Not so popular"
"unikong",7,"Not so popular"
"ratchet-and-clank-2016",7,"Not so popular"
"my-nintendo",7,"Not so popular"
"reigns",7,"Not so popular"
"playstation-vr",7,"Not so popular"
"hardware-identification",7,"Not so popular"
"tyranny",7,"Not so popular"
"pit-people",7,"Not so popular"
"naruto-online",7,"Not so popular"
"full-of-stars",7,"Not so popular"
"the-surge",7,"Not so popular"
"stranger-things-the-game",7,"Not so popular"
"fire-emblem-warriors",7,"Not so popular"
"bead-machine-punktasia",7,"Not so popular"
"three-kingdoms-total-war",7,"Not so popular"
"xbox-game-pass",7,"Not so popular"
"clash-of-clans-builder-base",7,"Not so popular"
"mount-and-blade-bannerlord",7,"Not so popular"
"assassins-creed-valhalla",7,"Not so popular"
"valheim",7,"Not so popular"
"puzzle-quest",6,"Not so popular"
"command-and-conquer",6,"Not so popular"
"final-fantasy-11",6,"Not so popular"
"metroid-prime-trilogy",6,"Not so popular"
"gothic-2",6,"Not so popular"
"gratuitous-space-battles",6,"Not so popular"
"madden-11",6,"Not so popular"
"call-of-duty-united-offensive",6,"Not so popular"
"monday-night-combat",6,"Not so popular"
"myst-series",6,"Not so popular"
"dungeon-siege",6,"Not so popular"
"metroid-other-m",6,"Not so popular"
"fifa-10",6,"Not so popular"
"battlefield-bad-company-2-vietnam",6,"Not so popular"
"brutal-legend",6,"Not so popular"
"civilization-3",6,"Not so popular"
"revenge-of-the-titans",6,"Not so popular"
"cut-the-rope",6,"Not so popular"
"the-elder-scrolls-ii-daggerfall",6,"Not so popular"
"anno-1404-venice",6,"Not so popular"
"test-drive-unlimited-2",6,"Not so popular"
"prince-of-persia-the-sands-of-time",6,"Not so popular"
"hexdefense",6,"Not so popular"
"gun-bros",6,"Not so popular"
"rainbow-6-vegas-2",6,"Not so popular"
"sims-medieval",6,"Not so popular"
"need-for-speed-shift-2-unleashed",6,"Not so popular"
"stalker-clear-sky",6,"Not so popular"
"sanctum",6,"Not so popular"
"perfect-world",6,"Not so popular"
"pokemon-stadium",6,"Not so popular"
"audiosurf",6,"Not so popular"
"crayon-physics-deluxe",6,"Not so popular"
"from-dust",6,"Not so popular"
"hammerfight",6,"Not so popular"
"serious-sam",6,"Not so popular"
"wolfenstein-3d",6,"Not so popular"
"machinarium",6,"Not so popular"
"kirby-mass-attack",6,"Not so popular"
"gears-of-war-2",6,"Not so popular"
"clash-of-heroes",6,"Not so popular"
"ultima-online",6,"Not so popular"
"rocksmith",6,"Not so popular"
"tomb-raider-anniversary",6,"Not so popular"
"call-of-duty-elite",6,"Not so popular"
"super-mario-kart",6,"Not so popular"
"just-dance-3",6,"Not so popular"
"geneforge-2",6,"Not so popular"
"ai-war-fleet-command",6,"Not so popular"
"max-payne-2",6,"Not so popular"
"pandemic-2",6,"Not so popular"
"diddy-kong-racing",6,"Not so popular"
"warzone-2100",6,"Not so popular"
"catherine",6,"Not so popular"
"spice-bandits",6,"Not so popular"
"max-payne",6,"Not so popular"
"guitar-hero-warriors-rock",6,"Not so popular"
"minecraft-mcpatcher",6,"Not so popular"
"overlord",6,"Not so popular"
"mount-and-blade-with-fire-and-sword",6,"Not so popular"
"final-fantasy-10-2",6,"Not so popular"
"minecraft-classic-browser",6,"Not so popular"
"shenmue-2",6,"Not so popular"
"gravity-rush",6,"Not so popular"
"final-fantasy-tactics-a2",6,"Not so popular"
"battlefield-premium",6,"Not so popular"
"gameranger",6,"Not so popular"
"dark-age-of-camelot",6,"Not so popular"
"divine-divinity",6,"Not so popular"
"master-of-orion-2",6,"Not so popular"
"doom-3",6,"Not so popular"
"persona-4-arena",6,"Not so popular"
"minecraft-redpower",6,"Not so popular"
"trouble-in-terrorist-town",6,"Not so popular"
"katamari-damacy",6,"Not so popular"
"the-oregon-trail",6,"Not so popular"
"super-metroid",6,"Not so popular"
"wwe-13",6,"Not so popular"
"ragnarok-online-2",6,"Not so popular"
"simcity-3000",6,"Not so popular"
"lone-survivor",6,"Not so popular"
"mechwarrior-online",6,"Not so popular"
"assassins-creed-3-liberation",6,"Not so popular"
"f1-2012",6,"Not so popular"
"crysis-3",6,"Not so popular"
"10000000",6,"Not so popular"
"farming-simulator-2013",6,"Not so popular"
"super-hexagon",6,"Not so popular"
"stardrive",6,"Not so popular"
"minecraft-mystcraft",6,"Not so popular"
"star-ocean-4",6,"Not so popular"
"defiance",6,"Not so popular"
"pokemon-ash-grey",6,"Not so popular"
"realms-of-despair",6,"Not so popular"
"centipede",6,"Not so popular"
"ducktales-remastered",6,"Not so popular"
"outlast",6,"Not so popular"
"grand-theft-auto-5-ifruit",6,"Not so popular"
"how-to-survive",6,"Not so popular"
"new-super-mario-bros-u",6,"Not so popular"
"cheat-engine",6,"Not so popular"
"craft-the-world",6,"Not so popular"
"star-citizen",6,"Not so popular"
"flappy-bird",6,"Not so popular"
"bravely-default-demo",6,"Not so popular"
"donkey-kong-country-tropical-freeze",6,"Not so popular"
"danganronpa",6,"Not so popular"
"civ-4-colonization",6,"Not so popular"
"kantai-collection",6,"Not so popular"
"brave-frontier",6,"Not so popular"
"dynasty-warriors-8",6,"Not so popular"
"playstation-tv",6,"Not so popular"
"sourcemod",6,"Not so popular"
"tales-of-xillia-2",6,"Not so popular"
"virtual-families-2",6,"Not so popular"
"arche-age",6,"Not so popular"
"project-spark",6,"Not so popular"
"manyland",6,"Not so popular"
"tabletop-simulator",6,"Not so popular"
"evolve",6,"Not so popular"
"streetpass-garden-flower-town",6,"Not so popular"
"streetpass-quest-find-mii",6,"Not so popular"
"trimps",6,"Not so popular"
"zoombinis",6,"Not so popular"
"farming-simulator-2015",6,"Not so popular"
"xbox-app",6,"Not so popular"
"metal-gear-solid-5-online",6,"Not so popular"
"zelda-tri-force-heroes",6,"Not so popular"
"dragon-ball-z-dokkan-battle",6,"Not so popular"
"guitar-hero-live",6,"Not so popular"
"hitman-2016",6,"Not so popular"
"salt-and-sanctuary",6,"Not so popular"
"master-of-orion-2016",6,"Not so popular"
"hyrule-warriors-legends",6,"Not so popular"
"hyper-light-drifter",6,"Not so popular"
"flutter-starlight",6,"Not so popular"
"lego-star-wars-the-force-awakens",6,"Not so popular"
"inside",6,"Not so popular"
"growtopia",6,"Not so popular"
"steamworld-heist",6,"Not so popular"
"everspace",6,"Not so popular"
"dragon-ball-xenoverse-2",6,"Not so popular"
"best-fiends-forever",6,"Not so popular"
"football-manager-2017",6,"Not so popular"
"retroarch",6,"Not so popular"
"injustice-2",6,"Not so popular"
"lords-mobile",6,"Not so popular"
"plants-vs-zombies-garden-warfare-2",6,"Not so popular"
"ok-golf",6,"Not so popular"
"golf-story",6,"Not so popular"
"battle-chasers-nightwar",6,"Not so popular"
"horizon-zero-dawn-the-frozen-wilds",6,"Not so popular"
"command-and-conquer-tiberian-sun",6,"Not so popular"
"x-com-terror-from-the-deep",6,"Not so popular"
"homeworld-remastered-collection",6,"Not so popular"
"warhammer-vermintide-2",6,"Not so popular"
"the-elder-scrolls-5-skyrim-vr",6,"Not so popular"
"frostpunk",6,"Not so popular"
"detroit-become-human",6,"Not so popular"
"splatoon-2-octo-expansion",6,"Not so popular"
"phantom-doctrine",6,"Not so popular"
"splinter-cell-chaos-theory",6,"Not so popular"
"deep-rock-galactic",6,"Not so popular"
"raft",6,"Not so popular"
"paranoia-happiness-is-mandatory",6,"Not so popular"
"rebel-galaxy-outlaw",6,"Not so popular"
"snowrunner",6,"Not so popular"
"pokemon-isle-of-armor",6,"Not so popular"
"fall-guys-ultimate-knockout",6,"Not so popular"
"roguelikes",5,"Not so popular"
"darwinia",5,"Not so popular"
"wiiware",5,"Not so popular"
"allegiance",5,"Not so popular"
"aqueduct",5,"Not so popular"
"ncaa-football-11",5,"Not so popular"
"fable",5,"Not so popular"
"etrian-odyssey-2",5,"Not so popular"
"ufc-undisputed-2010",5,"Not so popular"
"scott-pilgrim-vs-the-world",5,"Not so popular"
"fall-from-heaven-2",5,"Not so popular"
"global-agenda",5,"Not so popular"
"esrb",5,"Not so popular"
"dirt-2",5,"Not so popular"
"star-wars-the-force-unleashed",5,"Not so popular"
"kinect-sports",5,"Not so popular"
"final-fantasy-the-4-heroes-of-light",5,"Not so popular"
"warcraft",5,"Not so popular"
"battle-for-middle-earth",5,"Not so popular"
"two-worlds",5,"Not so popular"
"facade",5,"Not so popular"
"tiny-wings",5,"Not so popular"
"homefront",5,"Not so popular"
"contra",5,"Not so popular"
"americas-army-3",5,"Not so popular"
"grid",5,"Not so popular"
"nba-jam-2010",5,"Not so popular"
"anomaly-warzone-earth",5,"Not so popular"
"cthulhu-saves-the-world",5,"Not so popular"
"grand-prix-story",5,"Not so popular"
"yakuza-3",5,"Not so popular"
"alpha-protocol",5,"Not so popular"
"new-super-mario-bros",5,"Not so popular"
"etrian-odyssey",5,"Not so popular"
"monster-hunter-freedom-unite",5,"Not so popular"
"mini-ninjas",5,"Not so popular"
"uncharted-2",5,"Not so popular"
"eufloria",5,"Not so popular"
"driver-san-francisco",5,"Not so popular"
"oh-edo-towns",5,"Not so popular"
"minecraft-towny",5,"Not so popular"
"defcon",5,"Not so popular"
"really-big-sky",5,"Not so popular"
"apb-reloaded",5,"Not so popular"
"halo-anniversary",5,"Not so popular"
"silent-hill-2",5,"Not so popular"
"venture-towns",5,"Not so popular"
"fate-of-the-world",5,"Not so popular"
"cities-in-motion",5,"Not so popular"
"tetris-axis",5,"Not so popular"
"super-crate-box",5,"Not so popular"
"civilization",5,"Not so popular"
"solatorobo-red-the-hunter",5,"Not so popular"
"paper-mario",5,"Not so popular"
"guitar-hero-world-tour",5,"Not so popular"
"devil-survivor-2",5,"Not so popular"
"realm-of-empires",5,"Not so popular"
"silent-hill-3",5,"Not so popular"
"solar-2",5,"Not so popular"
"epic-astro-story",5,"Not so popular"
"risen-2",5,"Not so popular"
"advance-wars",5,"Not so popular"
"atelier-meruru-apprentice-of-arland",5,"Not so popular"
"lego-indiana-jones",5,"Not so popular"
"nier",5,"Not so popular"
"the-saboteur",5,"Not so popular"
"final-fantasy-5",5,"Not so popular"
"super-street-fighter-iv-3d-edition",5,"Not so popular"
"commandos",5,"Not so popular"
"raptr",5,"Not so popular"
"skype",5,"Not so popular"
"mario-kart-ds",5,"Not so popular"
"pokemon-mystery-dungeon-explorers",5,"Not so popular"
"etrian-odyssey-3",5,"Not so popular"
"animal-crossing-wild-world",5,"Not so popular"
"alice-madness-returns",5,"Not so popular"
"mu-online",5,"Not so popular"
"commander-keen",5,"Not so popular"
"minecraft-equivalent-exchange",5,"Not so popular"
"artemis-spaceship-bridge-simulator",5,"Not so popular"
"a-game-of-dwarves",5,"Not so popular"
"black-and-white",5,"Not so popular"
"final-fantasy-tactics-advance",5,"Not so popular"
"trails-in-the-sky-fc",5,"Not so popular"
"swordigo",5,"Not so popular"
"forza-horizon",5,"Not so popular"
"the-world-ends-with-you",5,"Not so popular"
"little-inferno",5,"Not so popular"
"super-smash-flash-2",5,"Not so popular"
"xbox-smartglass",5,"Not so popular"
"worms-revolution",5,"Not so popular"
"conclave",5,"Not so popular"
"fallen-enchantress",5,"Not so popular"
"retro-city-rampage",5,"Not so popular"
"hawken",5,"Not so popular"
"dust-514",5,"Not so popular"
"spaceteam",5,"Not so popular"
"god-of-war-ascension",5,"Not so popular"
"minecraft-railcraft",5,"Not so popular"
".hack-gu",5,"Not so popular"
"the-ship",5,"Not so popular"
"donkey-kong-64",5,"Not so popular"
"warcraft-2",5,"Not so popular"
"carmageddon",5,"Not so popular"
"duke-nukem-3d",5,"Not so popular"
"might-and-magic-6-mandate-of-heaven",5,"Not so popular"
"puzzle-craft",5,"Not so popular"
"mega-man-x",5,"Not so popular"
"marvel-heroes",5,"Not so popular"
"paranautical-activity",5,"Not so popular"
"gone-home",5,"Not so popular"
"junk-jack-x",5,"Not so popular"
"guardian-cross",5,"Not so popular"
"shenmue",5,"Not so popular"
"red-orchestra-2",5,"Not so popular"
"master-of-magic",5,"Not so popular"
"xpadder",5,"Not so popular"
"democracy-3",5,"Not so popular"
"coin-crypt",5,"Not so popular"
"heroes-of-dragon-age",5,"Not so popular"
"miiverse",5,"Not so popular"
"space-rangers-hd",5,"Not so popular"
"riven",5,"Not so popular"
"sir-you-are-being-hunted",5,"Not so popular"
"crusader-kings",5,"Not so popular"
"octodad-dadliest-catch",5,"Not so popular"
"bit-dungeon",5,"Not so popular"
"yoshis-new-island",5,"Not so popular"
"infamous-paper-trail",5,"Not so popular"
"broforce",5,"Not so popular"
"trials-fusion",5,"Not so popular"
"surgeon-simulator",5,"Not so popular"
"ps-vita-tv",5,"Not so popular"
"1001-spikes",5,"Not so popular"
"shadow-fight-2",5,"Not so popular"
"sniper-elite-3",5,"Not so popular"
"crawl",5,"Not so popular"
"one-way-heroics",5,"Not so popular"
"the-crew",5,"Not so popular"
"open-xcom",5,"Not so popular"
"sword-art-online-hollow-fragment",5,"Not so popular"
"creeper-world-3-arc-eternal",5,"Not so popular"
"terra-battle",5,"Not so popular"
"heroes-and-generals",5,"Not so popular"
"minecraft-shader",5,"Not so popular"
"sunset-overdrive",5,"Not so popular"
"trackmania-series",5,"Not so popular"
"shark-game",5,"Not so popular"
"the-forest",5,"Not so popular"
"magicite",5,"Not so popular"
"jackbox-party-pack",5,"Not so popular"
"infinifactory",5,"Not so popular"
"gog-galaxy",5,"Not so popular"
"far-cry",5,"Not so popular"
"rare-replay",5,"Not so popular"
"until-dawn",5,"Not so popular"
"monkey-island-2-lechucks-revenge-se",5,"Not so popular"
"soma",5,"Not so popular"
"chibi-robo-zip-lash",5,"Not so popular"
"forza-6",5,"Not so popular"
"tales-from-the-borderlands",5,"Not so popular"
"dungeon-boss",5,"Not so popular"
"nba2k16",5,"Not so popular"
"minecraft-pi-edition",5,"Not so popular"
"portal-knights",5,"Not so popular"
"the-walking-dead-2",5,"Not so popular"
"chronos",5,"Not so popular"
"tinker-island",5,"Not so popular"
"mobius-final-fantasy",5,"Not so popular"
"ps-now",5,"Not so popular"
"paper-mario-color-splash",5,"Not so popular"
"diddy-kong-racing-ds",5,"Not so popular"
"farming-simulator-2017",5,"Not so popular"
"pokemon-stadium-2",5,"Not so popular"
"burrito-bison-launcha",5,"Not so popular"
"state-of-decay-yose",5,"Not so popular"
"minecraft-aether",5,"Not so popular"
"owlboy",5,"Not so popular"
"halo-wars-2",5,"Not so popular"
"sniper-elite-4",5,"Not so popular"
"motorsport-manager",5,"Not so popular"
"gravity-rush-2",5,"Not so popular"
"the-bards-tale",5,"Not so popular"
"the-end-is-nigh",5,"Not so popular"
"absolver",5,"Not so popular"
"monster-hunter-stories",5,"Not so popular"
"danganronpa-v3",5,"Not so popular"
"once-upon-a-tower",5,"Not so popular"
"steamworld-dig-2",5,"Not so popular"
"doki-doki-literature-club",5,"Not so popular"
"wolfenstein-2-the-new-colossus",5,"Not so popular"
"star-wars-jedi-knight-jedi-academy",5,"Not so popular"
"desmume",5,"Not so popular"
"escape-from-tarkov",5,"Not so popular"
"secret-of-the-magic-crystals",5,"Not so popular"
"harvest-moon-back-to-nature",5,"Not so popular"
"dauntless",5,"Not so popular"
"arcanum-of-steamworks-and-magick",5,"Not so popular"
"mortal-kombat-komplete-edition",5,"Not so popular"
"altos-odyssey",5,"Not so popular"
"jurassic-world-evolution",5,"Not so popular"
"dragon-quest-monsters-joker-2",5,"Not so popular"
"onrush",5,"Not so popular"
"dragalia-lost",5,"Not so popular"
"fifa-19",5,"Not so popular"
"artifact",5,"Not so popular"
"shadow-of-the-tomb-raider",5,"Not so popular"
"day-of-the-tentacle-remastered",5,"Not so popular"
"splinter-cell-double-agent",5,"Not so popular"
"brawl-stars",5,"Not so popular"
"anthem",5,"Not so popular"
"tetris-99",5,"Not so popular"
"mortal-kombat-11",5,"Not so popular"
"tropico-6",5,"Not so popular"
"days-gone",5,"Not so popular"
"sword-art-online-fatal-bullet",5,"Not so popular"
"dota-autochess",5,"Not so popular"
"crash-team-racing-nitro-fueled",5,"Not so popular"
"roblox-studio",5,"Not so popular"
"beat-saber",5,"Not so popular"
"minecraft-earth",5,"Not so popular"
"project-diva-future-tone",5,"Not so popular"
"legends-of-runeterra",5,"Not so popular"
"nvidia",5,"Not so popular"
"microsoft-flight-simulator",5,"Not so popular"
"spelunky-2",5,"Not so popular"
"drone-the-game",5,"Not so popular"
"phasmophobia",5,"Not so popular"
"sam-and-max",4,"Not so popular"
"lips",4,"Not so popular"
"call-of-duty",4,"Not so popular"
"mag",4,"Not so popular"
"vmware-fusion",4,"Not so popular"
"abandonware",4,"Not so popular"
"madden-10",4,"Not so popular"
"onlive",4,"Not so popular"
"total-annihilation",4,"Not so popular"
"crackdown-2",4,"Not so popular"
"3d-dot-game-heroes",4,"Not so popular"
"ragnarok-online",4,"Not so popular"
"indigo-prophecy",4,"Not so popular"
"red-faction-guerrilla",4,"Not so popular"
"starfox-64",4,"Not so popular"
"windows-95",4,"Not so popular"
"operation-flashpoint",4,"Not so popular"
"star-wars-empire-at-war",4,"Not so popular"
"il2-sturmovik-1946",4,"Not so popular"
"solomons-boneyard",4,"Not so popular"
"the-settlers",4,"Not so popular"
"tidalis",4,"Not so popular"
"3d-analyze",4,"Not so popular"
"fable-series",4,"Not so popular"
"slashem",4,"Not so popular"
"shatter",4,"Not so popular"
"fast-expand",4,"Not so popular"
"xbox-dashboard",4,"Not so popular"
"dynasty-warriors",4,"Not so popular"
"project-reality",4,"Not so popular"
"peggle",4,"Not so popular"
"dungeon-keeper-2",4,"Not so popular"
"resident-evil-nemesis",4,"Not so popular"
"need-for-speed-shift",4,"Not so popular"
"mugen",4,"Not so popular"
"wipeout-hd-fury",4,"Not so popular"
"freespace-2",4,"Not so popular"
"brink",4,"Not so popular"
"hoard",4,"Not so popular"
"hunted-the-demons-forge",4,"Not so popular"
"frontier-elite-2",4,"Not so popular"
"x3-reunion",4,"Not so popular"
"railroad-tycoon-2",4,"Not so popular"
"dragon-quest-heroes",4,"Not so popular"
"wolfenstein-2009",4,"Not so popular"
"spelling-jungle",4,"Not so popular"
"blocks-that-matter",4,"Not so popular"
"viva-pinata",4,"Not so popular"
"jagged-alliance",4,"Not so popular"
"rune-factory-tod",4,"Not so popular"
"dance-central",4,"Not so popular"
"worms-armageddon",4,"Not so popular"
"worms-crazy-golf",4,"Not so popular"
"doodle-jump",4,"Not so popular"
"trine",4,"Not so popular"
"tiny-heroes",4,"Not so popular"
"might-and-magic-7-blood-and-honor",4,"Not so popular"
"king-arthurs-gold",4,"Not so popular"
"silent-hill",4,"Not so popular"
"doomrl",4,"Not so popular"
"eye-divine-cybermancy",4,"Not so popular"
"flight-control-hd",4,"Not so popular"
"bit-trip-core",4,"Not so popular"
"magic-the-gathering-online",4,"Not so popular"
"idle-worship",4,"Not so popular"
"professor-layton-the-last-specter",4,"Not so popular"
"thief-deadly-shadows",4,"Not so popular"
"triple-town",4,"Not so popular"
"qube",4,"Not so popular"
"tibia",4,"Not so popular"
"mario-sonic-london-2012",4,"Not so popular"
"prinny-2",4,"Not so popular"
"uncharted-golden-abyss",4,"Not so popular"
"thief-the-dark-project",4,"Not so popular"
"microsoft-flight",4,"Not so popular"
"dungeon-village",4,"Not so popular"
"armored-core-5",4,"Not so popular"
"elite-beat-agents",4,"Not so popular"
"treasure-adventure-game",4,"Not so popular"
